name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
RYTEL-UBOGA,,PL,53.739716666666666,17.830833333333334,123.0,2,204,500.0m,27.0m,,
RYTWIANY,,PL,50.51555,21.195283333333332,172.0,2,,,,,
RYSIE,,PL,52.220283333333334,21.47361666666667,135.0,2,195,370.0m,35.0m,,
RZEDOW K. TURAWY,,PL,50.75971666666667,18.128883333333334,177.0,2,306,480.0m,22.0m,,
RZEPIN,,PL,52.32221666666667,14.810833333333333,62.0,2,219,900.0m,25.0m,124.500,
RZESZOW,EPRJ,PL,50.104166666666664,22.04695,199.0,5,083,900.0m,30.0m,126.805,
RZESZOW/JASIONKA,EPRZ,PL,50.11,22.0225,206.0,5,271,3200.0m,45.0m,126.805,
SADY KOLONIA,EPSX,PL,53.576116666666664,21.27305,140.0,2,354,340.0m,35.0m,,
SANOK-BAZA,EPSA,PL,49.575833333333335,22.202216666666665,284.0,0,,,,,
SAPOLNO,,PL,53.82528333333333,17.3525,149.0,5,254,2300.0m,27.0m,,
SIENSK,,PL,51.861383333333336,14.795283333333334,58.0,2,270,430.0m,25.0m,122.000,
SIERADZ,EPSI,PL,51.53555,18.801383333333334,137.0,2,246,530.0m,45.0m,,
SKEPE,,PL,52.83055,19.38695,104.0,2,040,576.0m,45.0m,,
SLAWNO,,PL,54.392783333333334,16.682216666666665,30.0,2,225,595.0m,31.0m,122.200,
SLUPSK REDZIKOWO,,PL,54.47861666666667,17.10695,67.0,5,267,2000.0m,60.0m,,
SMILOWO,EPPS,PL,53.145,16.88195,88.0,5,280,800.0m,16.0m,135.175,
SMOLNIK,,PL,49.281666666666666,22.118616666666668,594.0,2,313,500.0m,50.0m,123.450,
SMARCHOWCE,,PL,51.05361666666667,17.69,151.0,2,,,,,
SOBIENIE,EPSJ,PL,51.952666666666666,21.3525,88.0,2,275,778.0m,50.0m,119.865,
SOCHACZEW-RYBNO,EPRS,PL,52.19833333333333,20.291383333333332,88.0,5,288,950.0m,58.0m,126.700,
SOLEC KUJAWSKI,,PL,53.07083333333333,18.19555,34.0,2,276,380.0m,27.0m,,
SOWINIEC,,PL,52.2375,16.88945,52.0,2,217,578.0m,28.0m,126.300,
STRZELCE MALE-SZCZUROWA,,PL,50.118883333333336,20.6025,176.0,2,209,525.0m,30.0m,,
STARA WIES,EPBW,PL,49.72305,22.02555,302.0,2,230,500.0m,22.0m,123.450,
SULISZEW 1,,PL,51.927216666666666,20.275,122.0,2,262,300.0m,10.0m,,
SULISZEW 2,,PL,51.927216666666666,20.265,131.0,2,360,875.0m,40.0m,123.450,
STRASZEWY,,PL,53.15445,19.913333333333334,162.0,0,,,,,
LESZNO,EPLS,PL,51.83335,16.522633333333335,90.0,2,233,1320.0m,50.0m,122.305,
STARE JUCHY,,PL,53.90721666666666,22.233883333333335,136.0,2,271,530.0m,34.0m,,
SUWALKI,EPSU,PL,54.07416666666666,22.893616666666667,178.0,5,256,1320.0m,30.0m,122.805,
SWIDNIK,EPSW,PL,51.231116666666665,22.696666666666665,200.0,0,,,,118.505,
SWIDWIN,EPSN,PL,53.79055,15.826383333333334,120.0,5,291,2500.0m,60.0m,127.500,
SZABRUK,,PL,53.73833333333333,20.321666666666665,124.0,2,265,300.0m,20.0m,,
SWIEBODZICE,EPWC,PL,50.882216666666665,16.318883333333332,267.0,2,235,750.0m,25.0m,135.750,
SZCZECIN/GOLENIOW,EPSC,PL,53.584716666666665,14.902216666666666,47.0,5,311,2500.0m,60.0m,121.255,
SZCZECIN DABIE,EPSD,PL,53.39083333333333,14.632216666666666,1.0,2,270,1000.0m,50.0m,125.335,
SZPROTAWA,,PL,51.560833333333335,15.587783333333334,128.0,0,260,2400.0m,50.0m,,
SZYMANOW,EPWS,PL,51.20583333333333,16.99805,124.0,2,140,700.0m,50.0m,124.115,
SZORCE,,PL,53.28528333333333,22.674166666666668,110.0,2,231,420.0m,25.0m,,
TORUN,EPTO,PL,53.02916666666667,18.545833333333334,50.0,5,278,1269.0m,57.0m,120.660,
TARNOW,,PL,50.001666666666665,21.004166666666666,206.0,2,275,570.0m,50.0m,122.300,
TOMASZOW MAZOWIECKI,EPTM,PL,51.58445,20.097216666666668,184.0,5,296,2000.0m,60.0m,125.000,
